alim_code,name_fr,name_en,group_code,subgroup_code,subsubgroup_code,energy_kcal,energy_kj,protein_g,carbs_g,sugars_g,fat_g,saturated_fat_g,fibre_g,salt_g,water_g
12112,Abondance,"Abondance cheese, from cow's milk",05,0503,050303,393,1630,"26,6",traces,"< 0,2","31,6","20,1","0,083","1,73","37,2"
12113,Gruyère IGP France,"Gruyere cheese, France, Protected Geographical Indication, from cow's milk",05,0503,050303,415,1720,"27,6","0,7",traces,"33,2","21,6",0,"1,11","33,2"
12114,"Gruyère, sans précision (origine France ou Suisse)","Gruyere cheese, from cow's milk",05,0503,050303,408,1690,"25,8","0,78","0,0001","33,5",22,0,"1,3","32,5"
12115,Emmental ou emmenthal,"Emmental cheese, from cow's milk",05,0503,050303,373,1550,"27,3",traces,traces,"28,8","19,7",0,"0,61","39,1"
12116,"Fromage à pâte pressée cuite type emmental ou emmenthal, allégé en matière grasse","Hard cheese, emmental-type cheese, reduced fat, from cow's milk",05,0503,050303,258,1080,"28,6","1,18",traces,"15,2","10,4",0,"1,4","49,6"
12118,"Emmental ou emmenthal, râpé","Emmental cheese, grated, from cow's milk",05,0503,050303,368,1530,"27,1","0,58",traces,"28,2","18,1","0,042","0,68",39
12119,Ossau-Iraty (fromage de brebis),"Ossau-Iraty cheese, from ewe's milk",05,0503,050303,423,1750,"23,7",1,"0,12",36,"24,3",0,"1,76","33,8"
12120,Parmesan,"Parmesan cheese, from cow's milk",05,0503,050303,411,1710,"30,5","1,14",traces,31,"20,6",0,"1,57","30,4"
12121,Fontina,"Fontina cheese, from cow's milk",05,0503,050303,384,1590,"25,1","0,8",0,"31,1","19,2",0,2,"37,9"
12122,Pecorino (fromage de brebis),"Pecorino cheese, from ewe's milk",05,0503,050303,383,1590,25,1,"< 0,5",31,22,0,"5,3","32,2"
12123,Grana Padano,"Grana Padano cheese, from cow's milk",05,0503,050303,399,1660,"33,2","1,17",traces,"28,5",17,0,"1,35","30,4"
12300,Fromage fondu en tranchettes,"Processed cheese, in slices, from cow's milk",05,0503,050304,246,1020,"13,8","5,34","4,95","18,5","12,3",0,"2,46","56,1"
12302,Spécialité fromagère fondue aromatisée en cubes pour l’apéritif (cubes de fromage fondu au lait de vache),"Processed cheese, from cow's milk, flavoured, in cubes, for aperitif",05,0503,050304,251,1040,"12,2","5,57","4,45","19,9","12,9",0,"2,18","58,3"
12303,"Fromage fondu en portion (triangle), non enrichi","Processed cheese, from cow's milk, triangle, not fortified",05,0503,050304,238,991,11,"8,52","5,75","17,6","12,3","0,13","1,84","58,2"
12304,"Fromage fondu en portion (triangle), enrichi en vitamines","Processed cheese, from cow's milk, triangle, fortified with vitamins",05,0503,050304,259,1070,"7,84","8,49","6,74","21,4","13,6","0,00005","1,65","58,4"
12305,"Fromage fondu, allégé en matière grasse","Processed cheese, reduced fat, from cow's milk",05,0503,050304,134,562,"11,3","4,6","4,6","7,36","4,6",0,"0,74","68,2"
12306,"Fromage blanc fondu en portion (carré), non enrichi en vitamines","Processed cheese, from cow's milk, square, not fortified with vitamins",05,0503,050304,305,1260,"8,59","2,98","2,21","28,6","18,9","0,0001","1,34","56,7"
12307,"Fromage blanc fondu en portion (carré ou bâtonnet), enrichi en vitamines","Processed cheese, from cow's milk, square or on stick, fortified with vitamins",05,0503,050304,305,1260,"8,21","3,39","2,47","28,7",19,"< 0,5","1,27","57,1"
